loop_index,time,ukf_prev_att_x,ukf_prev_att_y,ukf_prev_att_z,ukf_prev_vx,ukf_prev_vy,ukf_prev_vz,ukf_prev_px,ukf_prev_py,ukf_prev_pz,dynamic_input_vx,dynamic_input_vy,dynamic_input_vz,dynamic_input_q0,dynamic_input_q1,dynamic_input_q2,dynamic_input_q3,pwm0,pwm1,pwm2,pwm3,neural_fa_x,neural_fa_y,neural_fa_z,calculated_fa_x,calculated_fa_y,calculated_fa_z,dynamic_a_0,dynamic_a_1,dynamic_a_2,dynamic_pos_x,dynamic_pos_y,dynamic_pos_z,dynamic_vel_x,dynamic_vel_y,dynamic_vel_z,dynamic_vdot_x,dynamic_vdot_y,dynamic_vdot_z,ins_pred_pos_x,ins_pred_pos_y,ins_pred_pos_z,ins_pred_att_x,ins_pred_att_y,ins_pred_att_z,ins_pred_vx,ins_pred_vy,ins_pred_vz,obs_residual_x,obs_residual_y,obs_residual_z,ukf_fused_att_x,ukf_fused_att_y,ukf_fused_att_z,ukf_fused_vx,ukf_fused_vy,ukf_fused_vz,ukf_fused_px,ukf_fused_py,ukf_fused_pz,real_att_x,real_att_y,real_att_z,real_vx,real_vy,real_vz,real_px,real_py,real_pz,desire_vx,desire_vy,desire_vz,desire_px,desire_py,desire_pz,T_sp,hover_throttle
100,1.980000000000004,0.01741365637161398,-0.3480399639344002,0.027777154682150137,-0.32166651969571003,-0.02011441531791905,0.24107891449966706,-0.7407358523023315,-0.08097509174837196,2.313758419104925,-0.32166651969571003,-0.02011441531791905,0.24107891449966706,0.9847853153525433,0.010978932477151303,-0.17300064967949344,0.012170493750341493,1.0218929315880563,1.129188003103508,0.991179775671595,1.2204490123462248,-9.020203314105139,-1.3223274705229127,-1.0495652838047054,9.75227635588977,0.7400011309231196,-1.4421242338219962,11.927873004273115,15.113317356445734,-14.997058848743755,-0.7471691826962458,-0.08137738005473034,2.3185799973949184,-0.46607020946490163,-0.03597848148288853,0.2440985987305693,-7.22018448845958,-0.793203308248474,0.15098421154511144,-0.7471741261247374,-0.0814207939095321,2.3185682508552308,0.01741365637161398,-0.3480399639344002,0.027777154682150137,-0.32166651969571003,-0.02011441531791905,0.24107891449966706,-4.943428491666069e-06,-4.341385480174931e-05,-1.1746539687607083e-05,0.01752117873180695,-0.3510908032150067,0.02656738852007678,-0.32216073407831985,-0.024455799203199964,0.23990426079195262,0.01752117873180695,-0.3510908032150067,0.02656738852007678,0,0,0,-0.3262986233337503,-0.02187899858185537,0.23971755068896655,-0.7338860857426992,-0.08039620371923252,2.3088700879234634,-0.20113127336577594,0.0,0.23119611290519942,0.041825376605410476,0.0,2.396319951408405,[0.51882736],[0.46152458]
101,2.0,0.01752117873180695,-0.3510908032150067,0.02656738852007678,-0.32216073407831985,-0.024455799203199964,0.23990426079195262,-0.747174126126112,-0.08142079390968257,2.3185799973934826,-0.32216073407831985,-0.024455799203199964,0.23990426079195262,0.984527105034103,0.010944856264996286,-0.1745084938308625,0.011548816190024186,1.0151818457068522,1.1401728884084152,0.9921554608632382,1.218277422256053,-8.843098668950432,-1.320065574313167,-1.0057854227121261,9.771339495817255,0.16840397925583606,-1.5659831652069514,11.924356963034134,15.098299363136546,-14.968205885587249,-0.7536173408076784,-0.08190990989374657,2.3233780826093215,-0.46584293434375806,-0.040246948885165515,0.24303882048804454,-7.18411001327191,-0.7895574840982778,0.15672798480459527,-0.7535793607027803,-0.08190623365924664,2.32335905842136,0.01752117873180695,-0.3510908032150067,0.02656738852007678,-0.32216073407831985,-0.024455799203199964,0.23990426079195262,3.7980104898083233e-05,3.6762344999274887e-06,-1.9024187961402816e-05,0.017609663445802264,-0.3544680546958994,0.026242218100790814,-0.31836272240619407,-0.024088203774025263,0.23861552855441978,0.017609663445802264,-0.3544680546958994,0.026242218100790814,0,0,0,-0.32166651969571003,-0.02011441531791905,0.24107891449966706,-0.7407360876294136,-0.08097508886651696,2.313758419104925,-0.2029793226165809,0.0,0.23291347750609712,0.037784261533184815,0.0,2.400961089914718,[0.51884914],[0.46152458]
102,2.019999999999996,0.017609663445802264,-0.3544680546958994,0.026242218100790814,-0.31836272240619407,-0.024088203774025263,0.23861552855441978,-0.7535793607046273,-0.08190623365944831,2.3233747073579902,-0.31836272240619407,-0.024088203774025263,0.23861552855441978,0.984232603520297,0.010979242356514598,-0.17617188248483126,0.011362492098380455,1.0224739631984978,1.126701848860332,1.0168818590441222,1.1912939530147075,-9.381393574917144,-1.347783384706925,-1.1003061518841781,10.47672215983485,0.7857183242296273,-1.7001002627493058,11.951982083658004,15.057857759014157,-14.929121331604506,-0.7599466151527512,-0.08238799773492882,2.3281470179290786,-0.46731944715523743,-0.04013215995205481,0.24194059716969563,-7.44783623745217,-0.8021978089014773,0.16625343076379195,-0.7599134357947558,-0.08237715557456034,2.3280884455305912,0.017609663445802264,-0.3544680546958994,0.026242218100790814,-0.31836272240619407,-0.024088203774025263,0.23861552855441978,3.317935799540539e-05,1.0842160368479403e-05,-5.857239848738871e-05,0.017607759209458788,-0.35753966996317454,0.02632663651978638,-0.3150446676163173,-0.02300394699514075,0.2340456201829213,0.017607759209458788,-0.35753966996317454,0.02632663651978638,0,0,0,-0.3229418293296154,-0.01630751221637691,0.22324919084492328,-0.747616133340191,-0.08160284096693589,2.318600401365695,-0.20482182767663126,0.0,0.2346049262611756,0.03370624056884317,0.0,2.4056363178263735,[0.52179977],[0.46152458]
103,2.0400000000000063,0.017607759209458788,-0.35753966996317454,0.02632663651978638,-0.3150446676163173,-0.02300394699514075,0.2340456201829213,-0.7599134358001438,-0.08237715557514712,2.3281337158691966,-0.3150446676163173,-0.02300394699514075,0.2340456201829213,0.9839604030015874,0.01100324305642925,-0.17768281557112625,0.011387318293265681,1.0410558140458044,1.1034277501688217,1.0118626180631398,1.1938793665912917,-9.70231390765045,-1.3394007006342157,-1.1491851426024413,10.512623825892337,0.882451213793628,-2.1371890763406824,11.91603615824282,15.024604645691818,-14.892319883674173,-0.7662143291524701,-0.08283723451504993,2.332814628272855,-0.46722613385369266,-0.03901085878877811,0.23707574207094778,-7.6090733118687695,-0.800345589681868,0.15150609440132357,-0.7661966518332692,-0.08282823938906217,2.3327210303012835,0.017607759209458788,-0.35753966996317454,0.02632663651978638,-0.3150446676163173,-0.02300394699514075,0.2340456201829213,1.767731920088167e-05,8.995125987759645e-06,-9.359797157149075e-05,0.017584989567906512,-0.36029811876525775,0.027380481747014712,-0.31327694552990387,-0.02210443111739855,0.2260167062084487,0.017584989567906512,-0.36029811876525775,0.027380481747014712,0,0,0,-0.32631188077477424,-0.02217527117177502,0.22309721352281617,-0.7544653133386782,-0.08227421965980648,2.3234065385008367,-0.20665862836017782,0.0,0.2362697384136625,0.029591426496741118,0.0,2.4103451093529933,[0.52259983],[0.46152458]
104,2.0600000000000023,0.017584989567906512,-0.36029811876525775,0.027380481747014712,-0.31327694552990387,-0.02210443111739855,0.2260167062084487,-0.7661966494939968,-0.08282823938988743,2.3327843536582313,-0.31327694552990387,-0.02210443111739855,0.2260167062084487,0.9837083445441128,0.011102077959857754,-0.17903408862981082,0.011892512255495985,1.023672501253682,1.127902898432213,1.0190582371604238,1.1952723766467936,-9.264900133410151,-1.3303352541653146,-1.0571504373018552,10.373459212581245,0.8691503305641641,-2.5287431957391853,11.89934730817171,14.970001975412655,-14.83314440325558,-0.7724621884045949,-0.0832703280122354,2.3373046877824004,-0.4625735261049627,-0.0381240351221908,0.22930773652964787,-7.464829028752944,-0.8009802002396126,0.16455151605995866,-0.772422111356855,-0.08325393128074556,2.3372113654839763,0.017584989567906512,-0.36029811876525775,0.027380481747014712,-0.31327694552990387,-0.02210443111739855,0.2260167062084487,4.0077047739894844e-05,1.6396731489842775e-05,-9.332229842407003e-05,0.017577121056616938,-0.36325447379280457,0.02904680236678936,-0.3092692043428538,-0.020464758271760714,0.2175929707130489,0.017577121056616938,-0.36325447379280457,0.02904680236678936,0,0,0,-0.3227610965949564,-0.031596206280999926,0.23016916182998073,-0.7612295754100326,-0.08292167120013882,2.3281407636878537,-0.2084895614173403,0.0,0.23790718132518995,0.025439934678027926,0.0,2.41508692478278,[0.52201565],[0.46152458]
105,2.0799999999999983,0.017577121056616938,-0.36325447379280457,0.02904680236678936,-0.3092692043428538,-0.020464758271760714,0.2175929707130489,-0.7724221066697654,-0.08325393128146596,2.3372663614595828,-0.3092692043428538,-0.020464758271760714,0.2175929707130489,0.9834324134463502,0.011266147726836654,-0.1804787234114924,0.012696160610278348,1.010684769628673,1.1524294617260282,1.0305780237207443,1.1905293406867177,-9.030722511020402,-1.3290380696038109,-0.9954391627509087,10.79392161745127,0.9876787591365735,-2.6839204853867322,11.860586944299753,14.931986822520956,-14.819549408107891,-0.7786074907566225,-0.08366322644690118,2.3416182208738436,-0.4577587256825089,-0.03664598410874122,0.2221575530840785,-7.424476066982755,-0.8090612918490252,0.22822911855148043,-0.7785595866580286,-0.08366511309801664,2.341526402968313,0.017577121056616938,-0.36325447379280457,0.02904680236678936,-0.3092692043428538,-0.020464758271760714,0.2175929707130489,4.7904098593898325e-05,-1.8866511154597143e-06,-9.181790553070002e-05,0.01752532688129255,-0.36582750313585277,0.031169193391802873,-0.3044785700953078,-0.020653441176635045,0.20905735536053327,0.01752532688129255,-0.36582750313585277,0.031169193391802873,0,0,0,-0.3206881269322551,-0.0335765878936255,0.21378951456544043,-0.7679576807209515,-0.08356349316166499,2.3327054392810846,-0.21031446099340956,0.0,0.239516512746511,0.021251886009586607,0.0,2.419861207668416,[0.52461262],[0.46152458]
106,2.0999999999999943,0.01752532688129255,-0.36582750313585277,0.031169193391802873,-0.3044785700953078,-0.020653441176635045,0.20905735536053327,-0.7785595772763462,-0.08366511309864315,2.341573994787517,-0.3044785700953078,-0.020653441176635045,0.20905735536053327,0.9831855498487548,0.011449871132118483,-0.18173213685719025,0.013729728802098318,1.0200105101706776,1.1436898357630005,1.0309218950975054,1.190132568313067,-9.160113637120276,-1.348363523214131,-1.054791326098641,10.993202824674693,0.7743712915553845,-2.749127627641858,11.842792875251419,14.880178789287827,-14.787296994609607,-0.7846491486782523,-0.08407818192217585,2.345755141894728,-0.4547134470923385,-0.037170853425890264,0.2135550961737347,-7.511743849851533,-0.825870612462761,0.2248870406600716,-0.78459827508889,-0.08408113325087879,2.345668739916073,0.01752532688129255,-0.36582750313585277,0.031169193391802873,-0.3044785700953078,-0.020653441176635045,0.20905735536053327,5.087358936228803e-05,-2.951328702940903e-06,-8.640197865483756e-05,0.017647253273719448,-0.3676361958069651,0.03336835756988617,-0.29939111348453945,-0.020948587916308173,0.20087632266967875,0.017647253273719448,-0.3676361958069651,0.03336835756988617,0,0,0,-0.3148679880943966,-0.03088987353095588,0.20382796321993457,-0.77463047145814,-0.08417657053279583,2.3370785949485824,-0.21213315682723038,0.0,0.2410969725611051,0.017027396545911646,0.0,2.4246673937102146,[0.52611033],[0.46152458]
107,2.1200000000000045,0.017647253273719448,-0.3676361958069651,0.03336835756988617,-0.29939111348453945,-0.020948587916308173,0.20087632266967875,-0.7845982610125588,-0.08408113325140602,2.345708593148057,-0.29939111348453945,-0.020948587916308173,0.20087632266967875,0.9830047781404027,0.011723006766158381,-0.18260739068209164,0.014789122143528635,1.015543424929933,1.1546541064754094,1.036138097281672,1.1934507718637055,-8.988828433242224,-1.3385640189482113,-1.0271429493135784,11.091619956352888,0.7889510894844678,-2.7171709334257628,11.82926203279296,14.856763006748768,-14.76792008121125,-0.7905860832822496,-0.0845001050097322,2.3497261196014505,-0.44876864448604115,-0.037609235490078836,0.20569550524122565,-7.468876550075086,-0.8330323786885331,0.24095912857734447,-0.7904710631648822,-0.08448511435986142,2.349633070019397,0.017647253273719448,-0.3676361958069651,0.03336835756988617,-0.29939111348453945,-0.020948587916308173,0.20087632266967875,0.00011502011736730378,1.4990649870774697e-05,-9.304958205369473e-05,0.01768748402033017,-0.36912209433731236,0.03579627544939396,-0.28788882418764267,-0.01944951349064406,0.19195788731008356,0.01768748402033017,-0.36912209433731236,0.03579627544939396,0,0,0,-0.3116718575851858,-0.028107442490093434,0.2017885587202376,-0.7812123261122027,-0.08477767109756779,2.341260594077645,-0.21394547796426294,0.0,0.24264780020871718,0.01276659934052549,0.0,2.4295048915467645,[0.52675158],[0.46152458]
108,2.140000000000001,0.01768748402033017,-0.36912209433731236,0.03579627544939396,-0.28788882418764267,-0.01944951349064406,0.19195788731008356,-0.7904710397009482,-0.08448511436037469,2.3496716808193674,-0.28788882418764267,-0.01944951349064406,0.19195788731008356,0.9828500632198122,0.011976316021016028,-0.1833228967390651,0.01596986582829998,1.0196051839702482,1.1566051839702483,1.0320388797768618,1.2019676001859485,-8.828555767987892,-1.2762597064943788,-1.01534750787795,11.98557141310426,1.0515604677900168,-2.8539408436471767,11.829074144607295,14.848937358148785,-14.748603136230592,-0.7962288161847011,-0.08487410463018757,2.353510838565569,-0.4364952055145317,-0.03585674809793684,0.19718247761025165,-7.43031906634445,-0.8203617303646389,0.2612295150084041,-0.7960699478600844,-0.08484649876492865,2.353419405927042,0.01768748402033017,-0.36912209433731236,0.03579627544939396,-0.28788882418764267,-0.01944951349064406,0.19195788731008356,0.00015886832461664557,2.760586525892006e-05,-9.143263852706696e-05,0.01781982358830006,-0.370027523976322,0.03791286065982125,-0.2720018682287931,-0.016688918878989333,0.1831200076112563,0.01781982358830006,-0.370027523976322,0.03791286065982125,0,0,0,-0.3059654334825507,-0.029659341787386363,0.19523731690701368,-0.7877012760587582,-0.0853945681396754,2.345258868191466,-0.21575124874242646,0.0,0.24416821614936343,0.008469621136939874,0.0,2.434373102941512,[0.52784877],[0.46152458]
109,2.1599999999999966,0.01781982358830006,-0.370027523976322,0.03791286065982125,-0.2720018682287931,-0.016688918878989333,0.1831200076112563,-0.7960699126613096,-0.08484649876538866,2.3534538645591017,-0.2720018682287931,-0.016688918878989333,0.1831200076112563,0.9827491776073334,0.012243042191592397,-0.1837537028773436,0.016992307343900115,1.0206133801235941,1.1575495139371565,1.0487790015017089,1.1898243600987584,-8.975404162990836,-1.3198008142509448,-1.029064754712981,12.629538800378683,1.2464296665814025,-2.9665381818622407,11.81876653831855,14.847351290107678,-14.742458921378741,-0.8015099500258854,-0.08518027714296844,2.3571162647113266,-0.4223067812189398,-0.03366855873527574,0.18918576965973105,-7.515245649507335,-0.8489819928143202,0.30328810242373727,-0.8014707167024946,-0.0851668458553612,2.3571097585565006,0.01781982358830006,-0.370027523976322,0.03791286065982125,-0.2720018682287931,-0.016688918878989333,0.1831200076112563,3.923332339084151e-05,1.3431287607237885e-05,-6.506154826002586e-06,0.017991884304472256,-0.370080694919229,0.03930083092023975,-0.2680784798227282,-0.015345787071157118,0.18248815195138357,0.017991884304472256,-0.370080694919229,0.03930083092023975,0,0,0,-0.3042526398577629,-0.020433019356506772,0.17906276987489556,-0.7940435431324243,-0.08600249852880944,2.3490769937156677,-0.21755029079783814,0.0,0.2456574313567313,0.004136594372886831,0.0,2.4392714120824963,[0.53067904],[0.46174426]
